category,codeIndicator,refArea,colPi,timePeriod,unit,obsValue
Air emissions,CO2,AR,A01_A,2015,kt CO2e,79.523
Air emissions,CO2,AR,A01_B,2015,kt CO2e,1138.981
Air emissions,CO2,AR,A01_C,2015,kt CO2e,2937.535
Air emissions,CO2,AR,A01_D,2015,kt CO2e,2563.329
Air emissions,CO2,AR,A01_E,2015,kt CO2e,2918.323
Air emissions,CO2,AR,A01_F,2015,kt CO2e,822.098
Air emissions,CO2,AR,A01_G,2015,kt CO2e,660.589
Air emissions,CO2,AR,A01_H,2015,kt CO2e,4979.789
Air emissions,CO2,AR,A01_I,2015,kt CO2e,2525.268
Air emissions,CO2,AR,A01_J,2015,kt CO2e,493.073
Air emissions,CO2,AR,A01_K,2015,kt CO2e,1013.442
Air emissions,CO2,AR,A01_L,2015,kt CO2e,440.743
Air emissions,CO2,AR,A01_M,2015,kt CO2e,583.288
Air emissions,CO2,AR,A01_N,2015,kt CO2e,1216.504
Air emissions,CO2,AR,A01_O,2015,kt CO2e,191.479
Air emissions,CO2,AR,A01_P,2015,kt CO2e,0
Air emissions,CO2,AR,A01_Q,2015,kt CO2e,0
Air emissions,CO2,AR,A02,2015,kt CO2e,336.593
Air emissions,CO2,AR,A03,2015,kt CO2e,398.174
Air emissions,CO2,AR,B05,2015,kt CO2e,150.806
Air emissions,CO2,AR,B06_A,2015,kt CO2e,1216.222
Air emissions,CO2,AR,B06_B,2015,kt CO2e,18184.936
Air emissions,CO2,AR,B06_C,2015,kt CO2e,0.263
Air emissions,CO2,AR,B07_A,2015,kt CO2e,229.431
Air emissions,CO2,AR,B07_B,2015,kt CO2e,0.044
Air emissions,CO2,AR,B07_C,2015,kt CO2e,217.394
Air emissions,CO2,AR,B07_D,2015,kt CO2e,27.721
Air emissions,CO2,AR,B07_E,2015,kt CO2e,74.352
Air emissions,CO2,AR,B07_F,2015,kt CO2e,55.516
Air emissions,CO2,AR,B07_G,2015,kt CO2e,14.895
Air emissions,CO2,AR,B07_H,2015,kt CO2e,0
Air emissions,CO2,AR,B08_A,2015,kt CO2e,156.193
Air emissions,CO2,AR,B08_B,2015,kt CO2e,288.55
Air emissions,CO2,AR,B08_C,2015,kt CO2e,5.338
Air emissions,CO2,AR,C10_A,2015,kt CO2e,235.276
Air emissions,CO2,AR,C10_B,2015,kt CO2e,183.735
Air emissions,CO2,AR,C10_C,2015,kt CO2e,267.057
Air emissions,CO2,AR,C10_D,2015,kt CO2e,270.047
Air emissions,CO2,AR,C10_E,2015,kt CO2e,22.329
Air emissions,CO2,AR,C10_F,2015,kt CO2e,324.911
Air emissions,CO2,AR,C10_G,2015,kt CO2e,450.727
Air emissions,CO2,AR,C10_H,2015,kt CO2e,127.304
Air emissions,CO2,AR,C10_I,2015,kt CO2e,158.879
Air emissions,CO2,AR,C10_J,2015,kt CO2e,1895.224
Air emissions,CO2,AR,C11,2015,kt CO2e,521.358
Air emissions,CO2,AR,C12,2015,kt CO2e,282.888
Air emissions,CO2,AR,C13,2015,kt CO2e,242.44
Air emissions,CO2,AR,C14,2015,kt CO2e,185.314
Air emissions,CO2,AR,C15,2015,kt CO2e,77.061
Air emissions,CO2,AR,C16_A,2015,kt CO2e,121.644
Air emissions,CO2,AR,C16_B,2015,kt CO2e,0
Air emissions,CO2,AR,C17_A,2015,kt CO2e,64.728
Air emissions,CO2,AR,C17_B,2015,kt CO2e,496.872
Air emissions,CO2,AR,C17_C,2015,kt CO2e,0
Air emissions,CO2,AR,C18,2015,kt CO2e,286.888
Air emissions,CO2,AR,C191,2015,kt CO2e,952.772
Air emissions,CO2,AR,C192,2015,kt CO2e,10039.976
Air emissions,CO2,AR,C20_A,2015,kt CO2e,964.987
Air emissions,CO2,AR,C20_B,2015,kt CO2e,256.121
Air emissions,CO2,AR,C20_C,2015,kt CO2e,1240.201
Air emissions,CO2,AR,C20_D,2015,kt CO2e,0
Air emissions,CO2,AR,C21,2015,kt CO2e,925.682
Air emissions,CO2,AR,C22,2015,kt CO2e,15338.119
Air emissions,CO2,AR,C23_A,2015,kt CO2e,766.986
Air emissions,CO2,AR,C23_B,2015,kt CO2e,0
Air emissions,CO2,AR,C23_C,2015,kt CO2e,154.743
Air emissions,CO2,AR,C23_D,2015,kt CO2e,287.056
Air emissions,CO2,AR,C23_E,2015,kt CO2e,6947.465
Air emissions,CO2,AR,C23_F,2015,kt CO2e,0
Air emissions,CO2,AR,C23_G,2015,kt CO2e,639.04
Air emissions,CO2,AR,C24_A,2015,kt CO2e,4016.114
Air emissions,CO2,AR,C24_B,2015,kt CO2e,74.428
Air emissions,CO2,AR,C24_C,2015,kt CO2e,140.192
Air emissions,CO2,AR,C24_D,2015,kt CO2e,0
Air emissions,CO2,AR,C24_E,2015,kt CO2e,961.672
Air emissions,CO2,AR,C24_F,2015,kt CO2e,0
Air emissions,CO2,AR,C24_G,2015,kt CO2e,100.572
Air emissions,CO2,AR,C24_H,2015,kt CO2e,0
Air emissions,CO2,AR,C24_I,2015,kt CO2e,290.945
Air emissions,CO2,AR,C24_J,2015,kt CO2e,0
Air emissions,CO2,AR,C24_K,2015,kt CO2e,131.095
Air emissions,CO2,AR,C24_L,2015,kt CO2e,0
Air emissions,CO2,AR,C24_M,2015,kt CO2e,47.531
Air emissions,CO2,AR,C24_N,2015,kt CO2e,1802.783
Air emissions,CO2,AR,C25,2015,kt CO2e,54.756
Air emissions,CO2,AR,C26_A,2015,kt CO2e,32.176
Air emissions,CO2,AR,C26_B,2015,kt CO2e,729.594
Air emissions,CO2,AR,C27,2015,kt CO2e,50.075
Air emissions,CO2,AR,C28_A,2015,kt CO2e,44.538
Air emissions,CO2,AR,C28_B,2015,kt CO2e,31.886
Air emissions,CO2,AR,C29,2015,kt CO2e,230.65
Air emissions,CO2,AR,C30,2015,kt CO2e,18.264
Air emissions,CO2,AR,C31_32,2015,kt CO2e,1515.554
Air emissions,CO2,AR,C33,2015,kt CO2e,108.615
Air emissions,CO2,AR,D3511_A,2015,kt CO2e,2291.549
Air emissions,CO2,AR,D3511_B,2015,kt CO2e,29185.359
Air emissions,CO2,AR,D3511_C,2015,kt CO2e,44.507
Air emissions,CO2,AR,D3511_D,2015,kt CO2e,320.901
Air emissions,CO2,AR,D3511_E,2015,kt CO2e,12.828
Air emissions,CO2,AR,D3511_F,2015,kt CO2e,15803.917
Air emissions,CO2,AR,D3511_G,2015,kt CO2e,0.167
Air emissions,CO2,AR,D3511_H,2015,kt CO2e,0
Air emissions,CO2,AR,D3511_I,2015,kt CO2e,0
Air emissions,CO2,AR,D3511_J,2015,kt CO2e,0.001
Air emissions,CO2,AR,D3511_K,2015,kt CO2e,15.877
Air emissions,CO2,AR,D3511_L,2015,kt CO2e,19.257
Air emissions,CO2,AR,D3512,2015,kt CO2e,64.559
Air emissions,CO2,AR,D3513,2015,kt CO2e,172.021
Air emissions,CO2,AR,D352,2015,kt CO2e,1458.789
Air emissions,CO2,AR,D353,2015,kt CO2e,0.46
Air emissions,CO2,AR,E36,2015,kt CO2e,75.983
Air emissions,CO2,AR,E37T39_A,2015,kt CO2e,36.287
Air emissions,CO2,AR,E37T39_B,2015,kt CO2e,0
Air emissions,CO2,AR,E37T39_C,2015,kt CO2e,8.275
Air emissions,CO2,AR,E37T39_D,2015,kt CO2e,8.098
Air emissions,CO2,AR,E37T39_E,2015,kt CO2e,1.778
Air emissions,CO2,AR,E37T39_F,2015,kt CO2e,1.705
Air emissions,CO2,AR,E37T39_G,2015,kt CO2e,0.947
Air emissions,CO2,AR,E37T39_H,2015,kt CO2e,1.433
Air emissions,CO2,AR,E37T39_I,2015,kt CO2e,0.735
Air emissions,CO2,AR,E37T39_J,2015,kt CO2e,0.231
Air emissions,CO2,AR,E37T39_K,2015,kt CO2e,0.069
Air emissions,CO2,AR,E37T39_L,2015,kt CO2e,0.159
Air emissions,CO2,AR,E37T39_M,2015,kt CO2e,16.385
Air emissions,CO2,AR,E37T39_N,2015,kt CO2e,0.111
Air emissions,CO2,AR,E37T39_O,2015,kt CO2e,21.564
Air emissions,CO2,AR,E37T39_P,2015,kt CO2e,33.353
Air emissions,CO2,AR,E37T39_Q,2015,kt CO2e,60.981
Air emissions,CO2,AR,E37T39_R,2015,kt CO2e,27.639
Air emissions,CO2,AR,E37T39_S,2015,kt CO2e,17.721
Air emissions,CO2,AR,E37T39_T,2015,kt CO2e,21.519
Air emissions,CO2,AR,E37T39_U,2015,kt CO2e,19.476
Air emissions,CO2,AR,E37T39_V,2015,kt CO2e,21.341
Air emissions,CO2,AR,F_A,2015,kt CO2e,1416.197
Air emissions,CO2,AR,F_B,2015,kt CO2e,0
Air emissions,CO2,AR,G45,2015,kt CO2e,374.041
Air emissions,CO2,AR,G46,2015,kt CO2e,1517.639
Air emissions,CO2,AR,G47_A,2015,kt CO2e,1135.045
Air emissions,CO2,AR,G47_B,2015,kt CO2e,162.738
Air emissions,CO2,AR,H49_A,2015,kt CO2e,1124.55
Air emissions,CO2,AR,H49_B,2015,kt CO2e,13417.678
Air emissions,CO2,AR,H49_C,2015,kt CO2e,2726.657
Air emissions,CO2,AR,H50_A,2015,kt CO2e,854.573
Air emissions,CO2,AR,H50_B,2015,kt CO2e,1128.167
Air emissions,CO2,AR,H51,2015,kt CO2e,2846.533
Air emissions,CO2,AR,H52,2015,kt CO2e,1022.55
Air emissions,CO2,AR,H53,2015,kt CO2e,134.829
Air emissions,CO2,AR,I,2015,kt CO2e,521.793
Air emissions,CO2,AR,J58,2015,kt CO2e,49.383
Air emissions,CO2,AR,J59_60,2015,kt CO2e,204.31
Air emissions,CO2,AR,J61,2015,kt CO2e,292.773
Air emissions,CO2,AR,J62_63,2015,kt CO2e,111.485
Air emissions,CO2,AR,K64,2015,kt CO2e,1428.319
Air emissions,CO2,AR,K65,2015,kt CO2e,866.152
Air emissions,CO2,AR,K66,2015,kt CO2e,571.6
Air emissions,CO2,AR,L,2015,kt CO2e,463.467
Air emissions,CO2,AR,M69_70,2015,kt CO2e,208.497
Air emissions,CO2,AR,M71,2015,kt CO2e,100.034
Air emissions,CO2,AR,M72,2015,kt CO2e,23.571
Air emissions,CO2,AR,M73,2015,kt CO2e,90.054
Air emissions,CO2,AR,M74_75,2015,kt CO2e,212.864
Air emissions,CO2,AR,N77,2015,kt CO2e,486.152
Air emissions,CO2,AR,N78,2015,kt CO2e,54.479
Air emissions,CO2,AR,N79,2015,kt CO2e,55.961
Air emissions,CO2,AR,N80T82,2015,kt CO2e,520.484
Air emissions,CO2,AR,O84,2015,kt CO2e,1329.374
Air emissions,CO2,AR,P85,2015,kt CO2e,674.581
Air emissions,CO2,AR,Q86,2015,kt CO2e,570.895
Air emissions,CO2,AR,Q87_88,2015,kt CO2e,25.196
Air emissions,CO2,AR,R90T92,2015,kt CO2e,22.135
Air emissions,CO2,AR,R93,2015,kt CO2e,358.733
Air emissions,CO2,AR,S94,2015,kt CO2e,225.717
Air emissions,CO2,AR,S95,2015,kt CO2e,87.632
Air emissions,CO2,AR,S96,2015,kt CO2e,352.709
Air emissions,CO2,AR,T,2015,kt CO2e,5.979
Air emissions,CO2,AR,U,2015,kt CO2e,0
Air emissions,CO2,AR,P3_S14 ,2015,kt CO2e,25054.633
Air emissions,CO2,AR,P3_S15 ,2015,kt CO2e,0
Air emissions,CO2,AR,P3_S13 ,2015,kt CO2e,0
Air emissions,CO2,AR,P51G ,2015,kt CO2e,0
Air emissions,CO2,AR,P5M ,2015,kt CO2e,0
Air emissions,CH4,AR,A01_A,2015,kt CO2e,772.839
Air emissions,CH4,AR,A01_B,2015,kt CO2e,244.325
Air emissions,CH4,AR,A01_C,2015,kt CO2e,678.846
Air emissions,CH4,AR,A01_D,2015,kt CO2e,1105.271
Air emissions,CH4,AR,A01_E,2015,kt CO2e,2.315
Air emissions,CH4,AR,A01_F,2015,kt CO2e,134.468
Air emissions,CH4,AR,A01_G,2015,kt CO2e,0.385
Air emissions,CH4,AR,A01_H,2015,kt CO2e,4.169
Air emissions,CH4,AR,A01_I,2015,kt CO2e,95564.999
Air emissions,CH4,AR,A01_J,2015,kt CO2e,281.669
Air emissions,CH4,AR,A01_K,2015,kt CO2e,61.065
Air emissions,CH4,AR,A01_L,2015,kt CO2e,4210.089
Air emissions,CH4,AR,A01_M,2015,kt CO2e,0.824
Air emissions,CH4,AR,A01_N,2015,kt CO2e,2.312
Air emissions,CH4,AR,A01_O,2015,kt CO2e,0.218
Air emissions,CH4,AR,A01_P,2015,kt CO2e,0
Air emissions,CH4,AR,A01_Q,2015,kt CO2e,0
Air emissions,CH4,AR,A02,2015,kt CO2e,17.486
Air emissions,CH4,AR,A03,2015,kt CO2e,0.467
Air emissions,CH4,AR,B05,2015,kt CO2e,0.131
Air emissions,CH4,AR,B06_A,2015,kt CO2e,1.397
Air emissions,CH4,AR,B06_B,2015,kt CO2e,8.582
Air emissions,CH4,AR,B06_C,2015,kt CO2e,0
Air emissions,CH4,AR,B07_A,2015,kt CO2e,0.264
Air emissions,CH4,AR,B07_B,2015,kt CO2e,0
Air emissions,CH4,AR,B07_C,2015,kt CO2e,0.249
Air emissions,CH4,AR,B07_D,2015,kt CO2e,0.033
Air emissions,CH4,AR,B07_E,2015,kt CO2e,0.088
Air emissions,CH4,AR,B07_F,2015,kt CO2e,0.063
Air emissions,CH4,AR,B07_G,2015,kt CO2e,0.018
Air emissions,CH4,AR,B07_H,2015,kt CO2e,0
Air emissions,CH4,AR,B08_A,2015,kt CO2e,0.179
Air emissions,CH4,AR,B08_B,2015,kt CO2e,0.331
Air emissions,CH4,AR,B08_C,2015,kt CO2e,0.006
Air emissions,CH4,AR,C10_A,2015,kt CO2e,0.131
Air emissions,CH4,AR,C10_B,2015,kt CO2e,0.109
Air emissions,CH4,AR,C10_C,2015,kt CO2e,0.152
Air emissions,CH4,AR,C10_D,2015,kt CO2e,0.174
Air emissions,CH4,AR,C10_E,2015,kt CO2e,0.013
Air emissions,CH4,AR,C10_F,2015,kt CO2e,0.193
Air emissions,CH4,AR,C10_G,2015,kt CO2e,0.254
Air emissions,CH4,AR,C10_H,2015,kt CO2e,0.108
Air emissions,CH4,AR,C10_I,2015,kt CO2e,0.105
Air emissions,CH4,AR,C10_J,2015,kt CO2e,1.001
Air emissions,CH4,AR,C11,2015,kt CO2e,0.298
Air emissions,CH4,AR,C12,2015,kt CO2e,0.18
Air emissions,CH4,AR,C13,2015,kt CO2e,0.166
Air emissions,CH4,AR,C14,2015,kt CO2e,0.143
Air emissions,CH4,AR,C15,2015,kt CO2e,0.087
Air emissions,CH4,AR,C16_A,2015,kt CO2e,0.874
Air emissions,CH4,AR,C16_B,2015,kt CO2e,0
Air emissions,CH4,AR,C17_A,2015,kt CO2e,7.622
Air emissions,CH4,AR,C17_B,2015,kt CO2e,0.29
Air emissions,CH4,AR,C17_C,2015,kt CO2e,0
Air emissions,CH4,AR,C18,2015,kt CO2e,0.166
Air emissions,CH4,AR,C191,2015,kt CO2e,1.13
Air emissions,CH4,AR,C192,2015,kt CO2e,6.967
Air emissions,CH4,AR,C20_A,2015,kt CO2e,0.004
Air emissions,CH4,AR,C20_B,2015,kt CO2e,0.225
Air emissions,CH4,AR,C20_C,2015,kt CO2e,7.144
Air emissions,CH4,AR,C20_D,2015,kt CO2e,0
Air emissions,CH4,AR,C21,2015,kt CO2e,29.12
Air emissions,CH4,AR,C22,2015,kt CO2e,41.359
Air emissions,CH4,AR,C23_A,2015,kt CO2e,0.418
Air emissions,CH4,AR,C23_B,2015,kt CO2e,0
Air emissions,CH4,AR,C23_C,2015,kt CO2e,0.104
Air emissions,CH4,AR,C23_D,2015,kt CO2e,0.182
Air emissions,CH4,AR,C23_E,2015,kt CO2e,0.624
Air emissions,CH4,AR,C23_F,2015,kt CO2e,0
Air emissions,CH4,AR,C23_G,2015,kt CO2e,0.35
Air emissions,CH4,AR,C24_A,2015,kt CO2e,6.892
Air emissions,CH4,AR,C24_B,2015,kt CO2e,0.638
Air emissions,CH4,AR,C24_C,2015,kt CO2e,0.102
Air emissions,CH4,AR,C24_D,2015,kt CO2e,0
Air emissions,CH4,AR,C24_E,2015,kt CO2e,0.209
Air emissions,CH4,AR,C24_F,2015,kt CO2e,0
Air emissions,CH4,AR,C24_G,2015,kt CO2e,0.071
Air emissions,CH4,AR,C24_H,2015,kt CO2e,0
Air emissions,CH4,AR,C24_I,2015,kt CO2e,0.182
Air emissions,CH4,AR,C24_J,2015,kt CO2e,0
Air emissions,CH4,AR,C24_K,2015,kt CO2e,0.108
Air emissions,CH4,AR,C24_L,2015,kt CO2e,0
Air emissions,CH4,AR,C24_M,2015,kt CO2e,0.057
Air emissions,CH4,AR,C24_N,2015,kt CO2e,0.769
Air emissions,CH4,AR,C25,2015,kt CO2e,0.05
Air emissions,CH4,AR,C26_A,2015,kt CO2e,0.035
Air emissions,CH4,AR,C26_B,2015,kt CO2e,0.503
Air emissions,CH4,AR,C27,2015,kt CO2e,0.052
Air emissions,CH4,AR,C28_A,2015,kt CO2e,0.045
Air emissions,CH4,AR,C28_B,2015,kt CO2e,0.036
Air emissions,CH4,AR,C29,2015,kt CO2e,0.189
Air emissions,CH4,AR,C30,2015,kt CO2e,0.018
Air emissions,CH4,AR,C31_32,2015,kt CO2e,4.109
Air emissions,CH4,AR,C33,2015,kt CO2e,0.078
Air emissions,CH4,AR,D3511_A,2015,kt CO2e,0.692
Air emissions,CH4,AR,D3511_B,2015,kt CO2e,14.644
Air emissions,CH4,AR,D3511_C,2015,kt CO2e,0.053
Air emissions,CH4,AR,D3511_D,2015,kt CO2e,0.366
Air emissions,CH4,AR,D3511_E,2015,kt CO2e,0.015
Air emissions,CH4,AR,D3511_F,2015,kt CO2e,17.442
Air emissions,CH4,AR,D3511_G,2015,kt CO2e,0.136
Air emissions,CH4,AR,D3511_H,2015,kt CO2e,0
Air emissions,CH4,AR,D3511_I,2015,kt CO2e,0
Air emissions,CH4,AR,D3511_J,2015,kt CO2e,0
Air emissions,CH4,AR,D3511_K,2015,kt CO2e,0.019
Air emissions,CH4,AR,D3511_L,2015,kt CO2e,0.023
Air emissions,CH4,AR,D3512,2015,kt CO2e,0.074
Air emissions,CH4,AR,D3513,2015,kt CO2e,0.195
Air emissions,CH4,AR,D352,2015,kt CO2e,5641.475
Air emissions,CH4,AR,D353,2015,kt CO2e,0
Air emissions,CH4,AR,E36,2015,kt CO2e,0.084
Air emissions,CH4,AR,E37T39_A,2015,kt CO2e,0.026
Air emissions,CH4,AR,E37T39_B,2015,kt CO2e,0
Air emissions,CH4,AR,E37T39_C,2015,kt CO2e,4.458
Air emissions,CH4,AR,E37T39_D,2015,kt CO2e,4.473
Air emissions,CH4,AR,E37T39_E,2015,kt CO2e,1.362
Air emissions,CH4,AR,E37T39_F,2015,kt CO2e,1.429
Air emissions,CH4,AR,E37T39_G,2015,kt CO2e,0.718
Air emissions,CH4,AR,E37T39_H,2015,kt CO2e,1.023
Air emissions,CH4,AR,E37T39_I,2015,kt CO2e,147.735
Air emissions,CH4,AR,E37T39_J,2015,kt CO2e,0
Air emissions,CH4,AR,E37T39_K,2015,kt CO2e,0
Air emissions,CH4,AR,E37T39_L,2015,kt CO2e,0
Air emissions,CH4,AR,E37T39_M,2015,kt CO2e,0.034
Air emissions,CH4,AR,E37T39_N,2015,kt CO2e,0
Air emissions,CH4,AR,E37T39_O,2015,kt CO2e,3802.733
Air emissions,CH4,AR,E37T39_P,2015,kt CO2e,5713.979
Air emissions,CH4,AR,E37T39_Q,2015,kt CO2e,2335.025
Air emissions,CH4,AR,E37T39_R,2015,kt CO2e,1173.026
Air emissions,CH4,AR,E37T39_S,2015,kt CO2e,644.071
Air emissions,CH4,AR,E37T39_T,2015,kt CO2e,918.51
Air emissions,CH4,AR,E37T39_U,2015,kt CO2e,286.971
Air emissions,CH4,AR,E37T39_V,2015,kt CO2e,353.442
Air emissions,CH4,AR,F_A,2015,kt CO2e,1.576
Air emissions,CH4,AR,F_B,2015,kt CO2e,0
Air emissions,CH4,AR,G45,2015,kt CO2e,0.431
Air emissions,CH4,AR,G46,2015,kt CO2e,1.857
Air emissions,CH4,AR,G47_A,2015,kt CO2e,1.426
Air emissions,CH4,AR,G47_B,2015,kt CO2e,0.195
Air emissions,CH4,AR,H49_A,2015,kt CO2e,1.29
Air emissions,CH4,AR,H49_B,2015,kt CO2e,15.738
Air emissions,CH4,AR,H49_C,2015,kt CO2e,1.534
Air emissions,CH4,AR,H50_A,2015,kt CO2e,0.942
Air emissions,CH4,AR,H50_B,2015,kt CO2e,1.272
Air emissions,CH4,AR,H51,2015,kt CO2e,3.343
Air emissions,CH4,AR,H52,2015,kt CO2e,1.191
Air emissions,CH4,AR,H53,2015,kt CO2e,0.16
Air emissions,CH4,AR,I,2015,kt CO2e,0.907
Air emissions,CH4,AR,J58,2015,kt CO2e,0.049
Air emissions,CH4,AR,J59_60,2015,kt CO2e,0.25
Air emissions,CH4,AR,J61,2015,kt CO2e,0.342
Air emissions,CH4,AR,J62_63,2015,kt CO2e,0.138
Air emissions,CH4,AR,K64,2015,kt CO2e,0.86
Air emissions,CH4,AR,K65,2015,kt CO2e,0.567
Air emissions,CH4,AR,K66,2015,kt CO2e,0.36
Air emissions,CH4,AR,L,2015,kt CO2e,3.489
Air emissions,CH4,AR,M69_70,2015,kt CO2e,1.563
Air emissions,CH4,AR,M71,2015,kt CO2e,1.544
Air emissions,CH4,AR,M72,2015,kt CO2e,0.029
Air emissions,CH4,AR,M73,2015,kt CO2e,1.581
Air emissions,CH4,AR,M74_75,2015,kt CO2e,7.706
Air emissions,CH4,AR,N77,2015,kt CO2e,0.374
Air emissions,CH4,AR,N78,2015,kt CO2e,0.494
Air emissions,CH4,AR,N79,2015,kt CO2e,0.066
Air emissions,CH4,AR,N80T82,2015,kt CO2e,15.951
Air emissions,CH4,AR,O84,2015,kt CO2e,1.798
Air emissions,CH4,AR,P85,2015,kt CO2e,0.847
Air emissions,CH4,AR,Q86,2015,kt CO2e,0.655
Air emissions,CH4,AR,Q87_88,2015,kt CO2e,0.029
Air emissions,CH4,AR,R90T92,2015,kt CO2e,0.028
Air emissions,CH4,AR,R93,2015,kt CO2e,0.445
Air emissions,CH4,AR,S94,2015,kt CO2e,0.901
Air emissions,CH4,AR,S95,2015,kt CO2e,0.104
Air emissions,CH4,AR,S96,2015,kt CO2e,0.411
Air emissions,CH4,AR,T,2015,kt CO2e,0
Air emissions,CH4,AR,U,2015,kt CO2e,0
Air emissions,CH4,AR,P3_S14 ,2015,kt CO2e,63.137
Air emissions,CH4,AR,P3_S15 ,2015,kt CO2e,0
Air emissions,CH4,AR,P3_S13 ,2015,kt CO2e,0
Air emissions,CH4,AR,P51G ,2015,kt CO2e,0
Air emissions,CH4,AR,P5M ,2015,kt CO2e,0
Air emissions,N2O,AR,A01_A,2015,kt CO2e,129.863
Air emissions,N2O,AR,A01_B,2015,kt CO2e,1776.251
Air emissions,N2O,AR,A01_C,2015,kt CO2e,4936.587
Air emissions,N2O,AR,A01_D,2015,kt CO2e,6183.501
Air emissions,N2O,AR,A01_E,2015,kt CO2e,3683.216
Air emissions,N2O,AR,A01_F,2015,kt CO2e,1240.2
Air emissions,N2O,AR,A01_G,2015,kt CO2e,1316.691
Air emissions,N2O,AR,A01_H,2015,kt CO2e,7216.491
Air emissions,N2O,AR,A01_I,2015,kt CO2e,16037.367
Air emissions,N2O,AR,A01_J,2015,kt CO2e,384.575
Air emissions,N2O,AR,A01_K,2015,kt CO2e,31.149
Air emissions,N2O,AR,A01_L,2015,kt CO2e,1956.293
Air emissions,N2O,AR,A01_M,2015,kt CO2e,1.428
Air emissions,N2O,AR,A01_N,2015,kt CO2e,3.748
Air emissions,N2O,AR,A01_O,2015,kt CO2e,0.401
Air emissions,N2O,AR,A01_P,2015,kt CO2e,0
Air emissions,N2O,AR,A01_Q,2015,kt CO2e,0
Air emissions,N2O,AR,A02,2015,kt CO2e,22.294
Air emissions,N2O,AR,A03,2015,kt CO2e,0.86
Air emissions,N2O,AR,B05,2015,kt CO2e,0.417
Air emissions,N2O,AR,B06_A,2015,kt CO2e,2.578
Air emissions,N2O,AR,B06_B,2015,kt CO2e,12.982
Air emissions,N2O,AR,B06_C,2015,kt CO2e,0
Air emissions,N2O,AR,B07_A,2015,kt CO2e,0.484
Air emissions,N2O,AR,B07_B,2015,kt CO2e,0
Air emissions,N2O,AR,B07_C,2015,kt CO2e,0.455
Air emissions,N2O,AR,B07_D,2015,kt CO2e,0.06
Air emissions,N2O,AR,B07_E,2015,kt CO2e,0.163
Air emissions,N2O,AR,B07_F,2015,kt CO2e,0.116
Air emissions,N2O,AR,B07_G,2015,kt CO2e,0.032
Air emissions,N2O,AR,B07_H,2015,kt CO2e,0
Air emissions,N2O,AR,B08_A,2015,kt CO2e,0.328
Air emissions,N2O,AR,B08_B,2015,kt CO2e,0.606
Air emissions,N2O,AR,B08_C,2015,kt CO2e,0.011
Air emissions,N2O,AR,C10_A,2015,kt CO2e,0.148
Air emissions,N2O,AR,C10_B,2015,kt CO2e,0.132
Air emissions,N2O,AR,C10_C,2015,kt CO2e,0.175
Air emissions,N2O,AR,C10_D,2015,kt CO2e,0.228
Air emissions,N2O,AR,C10_E,2015,kt CO2e,0.015
Air emissions,N2O,AR,C10_F,2015,kt CO2e,0.235
Air emissions,N2O,AR,C10_G,2015,kt CO2e,0.29
Air emissions,N2O,AR,C10_H,2015,kt CO2e,0.172
Air emissions,N2O,AR,C10_I,2015,kt CO2e,0.141
Air emissions,N2O,AR,C10_J,2015,kt CO2e,1.057
Air emissions,N2O,AR,C11,2015,kt CO2e,0.346
Air emissions,N2O,AR,C12,2015,kt CO2e,0.233
Air emissions,N2O,AR,C13,2015,kt CO2e,0.234
Air emissions,N2O,AR,C14,2015,kt CO2e,0.22
Air emissions,N2O,AR,C15,2015,kt CO2e,0.16
Air emissions,N2O,AR,C16_A,2015,kt CO2e,1.15
Air emissions,N2O,AR,C16_B,2015,kt CO2e,0
Air emissions,N2O,AR,C17_A,2015,kt CO2e,9.629
Air emissions,N2O,AR,C17_B,2015,kt CO2e,0.346
Air emissions,N2O,AR,C17_C,2015,kt CO2e,0
Air emissions,N2O,AR,C18,2015,kt CO2e,0.197
Air emissions,N2O,AR,C191,2015,kt CO2e,2.081
Air emissions,N2O,AR,C192,2015,kt CO2e,9.88
Air emissions,N2O,AR,C20_A,2015,kt CO2e,129.751
Air emissions,N2O,AR,C20_B,2015,kt CO2e,0.414
Air emissions,N2O,AR,C20_C,2015,kt CO2e,0.761
Air emissions,N2O,AR,C20_D,2015,kt CO2e,0
Air emissions,N2O,AR,C21,2015,kt CO2e,0.025
Air emissions,N2O,AR,C22,2015,kt CO2e,60.137
Air emissions,N2O,AR,C23_A,2015,kt CO2e,0.452
Air emissions,N2O,AR,C23_B,2015,kt CO2e,0
Air emissions,N2O,AR,C23_C,2015,kt CO2e,0.14
Air emissions,N2O,AR,C23_D,2015,kt CO2e,0.232
Air emissions,N2O,AR,C23_E,2015,kt CO2e,0.647
Air emissions,N2O,AR,C23_F,2015,kt CO2e,0
Air emissions,N2O,AR,C23_G,2015,kt CO2e,0.381
Air emissions,N2O,AR,C24_A,2015,kt CO2e,2.259
Air emissions,N2O,AR,C24_B,2015,kt CO2e,0
Air emissions,N2O,AR,C24_C,2015,kt CO2e,0.148
Air emissions,N2O,AR,C24_D,2015,kt CO2e,0
Air emissions,N2O,AR,C24_E,2015,kt CO2e,0.313
Air emissions,N2O,AR,C24_F,2015,kt CO2e,0
Air emissions,N2O,AR,C24_G,2015,kt CO2e,0.114
Air emissions,N2O,AR,C24_H,2015,kt CO2e,0
Air emissions,N2O,AR,C24_I,2015,kt CO2e,0.232
Air emissions,N2O,AR,C24_J,2015,kt CO2e,0
